Acura       Integra    Small   13   16   19 25 31 0 1 4   2    140 6300 0 1
Acura       Legend     Mid     29   34   39 18 25 2 1 6   3    200 5500 0 3
Audi        90         Comp    26   29   32 20 26 1 1 6   3    172 5500 0 2
Audi        100        Mid     31   38   45 19 26 2 1 6   3    172 5500 0 3
BMW         535i       Mid     24   30   36 22 30 1 0 4   4    208 5700 0 3
Buick       Century    Mid     14   16   17 22 31 1 1 4   2    110 5200 1 3
Buick       LeSabre    Large   20   21   22 19 28 1 1 6   4    170 4800 1 4
Buick       Roadmaster Large   23   24   25 16 25 1 0 6   6    180 4000 1 4
Buick       Riviera    Mid     26   26   26 19 27 1 1 6   4    170 4800 1 3
Cadillac    DeVille    Large   33   35   36 16 25 1 1 8   5    200 4100 1 4
Cadillac    Seville    Mid     38   40   43 16 25 2 1 8   5    295 6000 1 3
Chevrolet   Cavalier   Comp     9   13   18 25 36 0 1 4   2    110 5200 1 2
Chevrolet   Corsica    Comp    11   11   11 25 34 1 1 4   2    110 5200 1 2
Chevrolet   Camaro     Sport   13   15   17 19 28 2 0 6   3    160 4600 1 5
Chevrolet   Lumina     Mid     13   16   18 21 29 0 1 4   2    110 5200 1 3
Chevrolet   Lumina_APV Van     15   16   18 18 23 0 1 6   4    170 4800 1 6
Chevrolet   Astro      Van     15   17   19 15 20 0 2 6   4    165 4000 1 6
Chevrolet   Caprice    Large   18   19   20 17 26 1 0 8   5    170 4200 1 4
Chevrolet   Corvette   Sport   35   38   42 17 25 1 0 8   6    300 5000 1 5
Chrylser    Concorde   Large   18   18   18 20 28 2 1 6   3    153 5300 1 4
Chrysler    LeBaron    Comp    15   16   17 23 28 2 1 4   3    141 5000 1 2
Chrysler    Imperial   Large   30   30   30 20 26 1 1 6   3    147 4800 1 4
Dodge       Colt       Small    8    9   11 29 33 0 1 4   2     92 6000 1 1
Dodge       Shadow     Small    8   11   14 23 29 1 1 4   2     93 4800 1 1
Dodge       Spirit     Comp    12   13   15 22 27 1 1 4   3    100 4800 1 2
Dodge       Caravan    Van     14   19   24 17 21 1 2 6   3    142 5000 1 6
Dodge       Dynasty    Mid     15   16   16 21 27 1 1 4   3    100 4800 1 3
Dodge       Stealth    Sport   19   26   33 18 24 1 2 6   3    300 6000 1 5
Eagle       Vision     Large   18   19   21 20 28 2 1 6   4    214 5800 1 4
Ford        Festiva    Small    7    7    8 31 33 0 1 4   1     63 5000 1 1
Ford        Escort     Small    8   10   12 23 30 0 1 4   2    127 6500 1 1
Ford        Tempo      Comp    10   11   12 22 27 0 1 4   2     96 4200 1 2
Ford        Mustang    Sport   11   16   21 22 29 1 0 4   2    105 4600 1 5
Ford        Probe      Sport   13   14   15 24 30 1 1 4   2    115 5500 1 5
Ford        Aerostar   Van     15   20   25 15 20 1 2 6   3    145 4800 1 6
Ford        Taurus     Mid     16   20   25 21 30 1 1 6   3    140 4800 1 3
Ford        Crown_Vict Large   20   21   22 18 26 1 0 8   5    190 4200 1 4
Geo         Metro      Small    7    8   10 46 50 0 1 3   1     55 5700 0 1
Geo         Storm      Sport   12   13   14 30 36 1 1 4   2     90 5400 0 5
Honda       Prelude    Sport   17   20   23 24 31 2 1 4   2    160 5800 0 5
Honda       Civic      Small    8   12   16 42 46 1 1 4   2    102 5900 0 1
Honda       Accord     Comp    14   18   21 24 31 2 1 4   2    140 5600 0 2
Hyundai     Excel      Small    7    8    9 29 33 0 1 4   2     81 5500 0 1
Hyundai     Elantra    Small    9   10   11 22 29 0 1 4   2    124 6000 0 1
Hyundai     Scoupe     Sport    9   10   11 26 34 0 1 4   2     92 5550 0 5
Hyundai     Sonata     Mid     12   14   15 20 27 0 1 4   2    128 6000 0 3
Infiniti    Q45        Mid     45   48   50 17 22 1 0 8   5    278 6000 0 3
Lexus       ES300      Mid     28   28   28 18 24 1 1 6   3    185 5200 0 3
Lexus       SC300      Mid     35   35   36 18 23 2 0 6   3    225 6000 0 3
Lincoln     Continenta Mid     33   34   35 17 26 2 1 6   4    160 4400 1 3
Lincoln     Town_Car   Large   34   36   38 18 26 2 0 8   5    210 4600 1 4
Mazda       323        Small    7    8    9 29 37 0 1 4   2     82 5000 0 1
Mazda       Protege    Small   11   12   12 28 36 0 1 4   2    103 5500 0 1
Mazda       626        Comp    14   17   19 26 34 1 1 4   3    164 5600 0 2
Mazda       MPV        Van     17   19   22 18 24 0 2 6   3    155 5000 0 6
Mazda       RX-7       Sport   33   33   33 17 25 1 0 .   1    255 6500 0 5
Mercedes-Be 190E       Comp    29   32   35 20 29 1 0 4   2    130 5100 0 2

